copy_id,topper,air,year,paper,optional,source,provenance,page,marks,word_limit,question,pdf_url,pdf_page_url
52,A R Rajah,7,2025,Essay,0,Forumias,upsckata,3,,,"1. True leadership lies in serving not ruling.
2. Democracy is not just the right to vote, it is the right to live in dignity.
3. Growing regional aspirations and demand for greater autonomy: A challenge to Indian federalism.
4. The ballot is stronger than the bullet.",https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-3.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-3.pdf#page=3
52,A R Rajah,7,2025,Essay,0,Forumias,upsckata,16,,,"1. The great aim of education is not knowledge but action.
2. The global south must redefine development through cooperation and justice.
3. There is no health without mental health.
4. If a free society cannot help the many who are poor, it cannot save the few who are rich.",https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-3.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-3.pdf#page=16
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,3,10,150,Q.1) a) 'Unconscious biases in parenting continue to shape gendered experiences in India.' Do you agree with this view? Discuss.,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=3
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,5,10,150,b) Distinguish between empathy and compassion. Why are they considered as foundational values in public services?,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=5
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,7,10,150,Q.2) a) The current society is witnessing rising levels of intolerance. What are the consequences of this situation for personal well-being and for societal well-being? What can one do at the personal level to become tolerant?,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=7
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,9,10,150,b) What are the main components of emotional intelligence and how does it help an individual in taking ethical decisions?,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=9
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,11,10,150,"Q.3) Given below are the three quotations of great thinkers. What do each of these quotations convey to you in the present context?
a) ""This life is short, the vanities of the world are transient, but they alone live who live for others, the rest are more dead than alive."" - Swami Vivekanand (10 marks, 150 words)",https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=11
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,13,10,150,"b) ""If you cry because the sun has gone out of your life, your tears will prevent you from seeing the stars."" - Rabindranath Tagore",https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=13
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,15,10,150,"c) ""Two ways of building character – cultivating strength to challenge oppression, and tolerate the resultant hardships that give rise to courage and awareness."" - Sardar Patel",https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=15
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,17,10,150,"Q.4) a) ""With great power comes great responsibility."" In the present context, 'Big Tech' headquartered in developed countries wield disproportionate influence over digital infrastructure, personal data, and global narratives—often prioritising profit over ethical considerations. What ethical principles should guide such corporations in building a fair, inclusive, and just global digital framework?",https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=17
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,19,10,150,b) What do you understand by the term 'crisis of conscience'? Describe an incident from your life where you experienced such a crisis. How did you deal with it?,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=19
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,21,10,150,"Q.5) a) ""A politics of confession that encourages politicians and parties to confess and offer regret for their errors can surely be a cathartic experience."" Examine the statement from the ethical point of view.",https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=21
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,23,10,150,"b) What are the key objectives of the Right to Information Act, 2005? Examine the ethical concerns associated with certain provisions of the Digital Personal Data Protection Act in realizing the objectives of the RTI Act.",https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=23
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,25,10,150,"Q.6) a) Public spaces serve as arenas of democratic participation and civic expression. Yet in India, they remain deeply gendered, with many women largely confined to the private and domestic sphere. Examine the factors that restrict women's access to public spaces. How can ethical governance help address the issue of gendered spatial control and promote inclusivity in public spaces?",https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=25
51,A R Rajah,7,2025,GS4,0,Forumias,upsckata,27,"10 marks, 150",30 words each,"b) Write short notes on the following in 30 words each:
i) Ethical fading
ii) Conflict of interest
iii) Persuasion
iv) Work culture
v) Corporate governance",https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf,https://forumias.com/blog/wp-content/uploads/2026/03/A-R-RAJAH-MOHAIDEEN-UPSC-IAS-2025-Toppers-AIR-7-Sample-MGP-Copy-2.pdf#page=27
